Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Month,City,Company,MonthlyHours,TariffRate,ElectricityBill
16,23.0,2.0,6.0,1.0,0,10,Kota Kinabalu,Tata Power Company Ltd.,384,8.4,3225.6000000000004
19,22.0,2.0,3.0,1.0,0,5,Subang Jaya,NHPC,488,7.8,3806.4
7,20.0,2.0,6.0,7.0,0,7,Shah Alam,Jyoti Structure,416,7.7,3203.2000000000003
7,22.0,3.0,21.0,1.0,0,6,Kuala Terengganu,Power Grid Corp,475,9.2,4370.0
11,23.0,2.0,11.0,1.0,0,2,Kuala Terengganu,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),457,9.2,4204.4
13,22.0,0.0,18.0,1.0,0,6,Seremban,Adani Power Ltd.,471,7.4,3485.4
23,22.0,3.0,20.0,12.0,0,5,Melaka,Kalpataru Power,755,8.5,6417.5
22,23.0,0.0,21.0,1.0,0,12,Melaka,Adani Power Ltd.,492,8.5,4182.0
8,20.0,2.0,8.0,1.0,0,8,Melaka,Orient Green,546,8.5,4641.0
10,23.0,0.0,18.0,7.0,0,1,Ipoh,Sterlite Power Transmission Ltd,578,7.6,4392.8
16,22.0,3.0,14.0,1.0,0,6,Alor Setar,Neueon Towers / Sujana Towers Ltd.,450,7.9,3555.0
5,19.0,2.0,20.0,1.0,0,12,Kuala Terengganu,Sterlite Power Transmission Ltd,493,9.2,4535.599999999999
10,23.0,1.0,22.0,1.0,0,9,Kota Kinabalu,KEC International,492,8.4,4132.8
11,22.0,3.0,19.0,1.0,0,11,Alor Setar,Indowind Energy,565,7.9,4463.5
18,22.0,1.0,3.0,12.0,0,7,Muar,Unitech Power Transmission Ltd.,414,8.2,3394.8
21,23.0,3.0,5.0,1.0,0,12,Kuantan,Bonfiglioli Transmission Pvt. Ltd.,594,8.9,5286.6
9,21.0,3.0,6.0,1.0,0,2,Batu Pahat,SJVN Ltd.,349,8.8,3071.2000000000003
17,22.0,0.0,3.0,1.0,0,4,Ipoh,Tata Power Company Ltd.,355,7.6,2698.0
12,23.0,0.0,18.0,1.0,0,3,Melaka,Neueon Towers / Sujana Towers Ltd.,467,8.5,3969.5
13,22.0,1.0,21.0,12.0,0,11,Melaka,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",646,8.5,5491.0
23,23.0,0.0,15.0,1.0,0,8,Kuala Terengganu,Sterlite Power Transmission Ltd,476,9.2,4379.2
20,22.0,3.0,7.0,12.0,0,2,Seremban,L&T Transmission & Distribution,659,7.4,4876.6
23,22.0,2.0,14.0,1.0,0,7,Johor Bahru,Guj Ind Power,631,8.1,5111.099999999999
9,22.0,3.0,3.0,1.0,0,4,Johor Bahru,Jyoti Structure,395,8.1,3199.5
19,22.0,2.0,11.0,1.0,0,3,Muar,Guj Ind Power,480,8.2,3936.0
19,23.0,0.0,21.0,1.0,0,12,Kuantan,Torrent Power Ltd.,678,8.9,6034.2
22,23.0,2.0,11.0,1.0,0,8,Johor Bahru,Reliance Energy,664,8.1,5378.4
7,22.0,2.0,16.0,1.0,0,8,Kuantan,GE T&D India Limited,515,8.9,4583.5
21,22.0,0.0,19.0,1.0,0,7,Johor Bahru,Reliance Energy,509,8.1,4122.9
23,22.0,0.0,17.0,1.0,0,9,Johor Bahru,NTPC Pvt. Ltd.,679,8.1,5499.9
23,23.0,3.0,18.0,1.0,0,4,Kota Kinabalu,KEC International,564,8.4,4737.6
23,23.0,0.0,9.0,1.0,0,4,Kuala Terengganu,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",412,9.2,3790.4
18,22.0,2.0,18.0,1.0,0,12,Johor Bahru,NTPC Pvt. Ltd.,468,8.1,3790.8
11,23.0,0.0,20.0,1.0,0,8,Kuala Lumpur,L&T Transmission & Distribution,452,8.7,3932.4
5,21.0,3.0,17.0,1.0,0,10,Petaling Jaya,GE T&D India Limited,447,9.1,4067.7
13,22.0,3.0,6.0,1.0,0,10,Melaka,Sterlite Power Transmission Ltd,361,8.5,3068.5
14,22.0,2.0,4.0,1.0,0,2,Klang,Optibelt Power Transmission India Private Limited,442,8.3,3668.6
7,20.0,0.0,18.0,1.0,0,1,Muar,Neueon Towers / Sujana Towers Ltd.,307,8.2,2517.4
15,22.0,0.0,20.0,1.0,0,10,Muar,GE T&D India Limited,494,8.2,4050.8
22,22.0,3.0,17.0,1.0,0,4,Petaling Jaya,CESC,699,9.1,6360.9
6,23.0,2.0,16.0,1.0,0,6,Shah Alam,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",549,7.7,4227.3
8,17.0,3.0,5.0,1.0,0,7,Klang,Ringfeder Power Transmission India Pvt. Ltd.,385,8.3,3195.5000000000005
9,22.0,0.0,10.0,7.0,0,12,Melaka,Orient Green,491,8.5,4173.5
10,21.0,1.0,22.0,1.0,0,6,Ipoh,Neueon Towers / Sujana Towers Ltd.,646,7.6,4909.599999999999
12,23.0,2.0,9.0,1.0,0,6,Kuantan,GE T&D India Limited,546,8.9,4859.400000000001
21,23.0,2.0,6.0,1.0,0,6,Subang Jaya,Reliance Power,636,7.8,4960.8
19,22.0,0.0,10.0,12.0,0,2,Kuala Lumpur,JSW Energy Ltd.,401,8.7,3488.7
8,22.0,2.0,8.0,1.0,0,7,Ipoh,GE T&D India Limited,360,7.6,2736.0
13,22.0,2.0,8.0,1.0,0,9,Subang Jaya,Sterlite Power Transmission Ltd,539,7.8,4204.2
14,22.0,2.0,6.0,12.0,0,7,Kuching,Ringfeder Power Transmission India Pvt. Ltd.,577,9.3,5366.1
5,23.0,3.0,15.0,1.0,0,5,Melaka,Sunil Hitech Eng,673,8.5,5720.5
5,21.0,0.0,15.0,1.0,0,10,Kuala Lumpur,JSW Energy Ltd.,443,8.7,3854.1
11,22.0,1.0,7.0,1.0,0,11,Klang,Sunil Hitech Eng,398,8.3,3303.4
13,22.0,1.0,4.0,12.0,0,1,Kuching,Power Grid Corp,653,9.3,6072.900000000001
7,21.0,0.0,3.0,1.0,0,12,Kota Kinabalu,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,421,8.4,3536.4
10,19.0,0.0,3.0,1.0,0,6,Batu Pahat,NTPC Pvt. Ltd.,421,8.8,3704.8
15,22.0,2.0,16.0,1.0,0,4,Batu Pahat,Sterlite Power Transmission Ltd,650,8.8,5720.000000000001
18,22.0,2.0,15.0,1.0,0,6,Alor Setar,Orient Green,484,7.9,3823.6
22,23.0,2.0,21.0,1.0,0,6,Muar,SJVN Ltd.,737,8.2,6043.4
18,22.0,2.0,10.0,1.0,0,2,Kuala Terengganu,Reliance Power,405,9.2,3726.0
7,23.0,3.0,11.0,1.0,0,4,Kota Kinabalu,Kalpataru Power,458,8.4,3847.2
16,22.0,1.0,11.0,1.0,0,8,Ipoh,NTPC Pvt. Ltd.,466,7.6,3541.6
14,23.0,1.0,13.0,1.0,0,8,Kota Kinabalu,Adani Power Ltd.,456,8.4,3830.4
15,22.0,3.0,9.0,1.0,0,4,Kuala Terengganu,Jaiprakash Power,394,9.2,3624.8
8,22.0,1.0,5.0,1.0,0,10,Muar,Reliance Power,263,8.2,2156.6
10,18.0,2.0,9.0,1.0,0,7,Kuala Terengganu,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),490,9.2,4508.0
8,19.0,2.0,20.0,1.0,0,12,Shah Alam,Reliance Energy,476,7.7,3665.2
19,22.0,1.0,3.0,1.0,0,5,Shah Alam,Sterlite Power Transmission Ltd,577,7.7,4442.900000000001
7,23.0,0.0,17.0,1.0,0,3,Subang Jaya,Bonfiglioli Transmission Pvt. Ltd.,533,7.8,4157.4
16,23.0,1.0,16.0,1.0,0,7,Kuching,Unitech Power Transmission Ltd.,495,9.3,4603.5
8,23.0,0.0,4.0,1.0,0,8,Shah Alam,Jyoti Structure,399,7.7,3072.3
12,22.0,0.0,14.0,12.0,0,10,Kuala Lumpur,KEC International,604,8.7,5254.799999999999
18,22.0,3.0,9.0,1.0,0,9,Kuala Lumpur,Kalpataru Power,653,8.7,5681.099999999999
19,23.0,2.0,14.0,1.0,0,11,Muar,Sunil Hitech Eng,512,8.2,4198.4
7,22.0,2.0,11.0,7.0,0,8,Muar,Optibelt Power Transmission India Private Limited,468,8.2,3837.6
19,22.0,3.0,11.0,1.0,0,4,Kuala Lumpur,Optibelt Power Transmission India Private Limited,563,8.7,4898.099999999999
17,23.0,1.0,12.0,1.0,0,9,Kuala Lumpur,Jyoti Structure,496,8.7,4315.2
20,23.0,0.0,15.0,1.0,0,10,Kota Kinabalu,TransRail Lighting,500,8.4,4200.0
